iter	RMSE
0	1.230372648
1	1.19990228
2	1.171882639
3	1.14916362
4	1.124677857
5	1.102905708
6	1.07973292
7	1.05426972
8	1.035525726
9	1.014838952
10	0.994057303
11	0.9738764866
12	0.954759873
13	0.9356674313
14	0.9195568494
15	0.9049927873
16	0.8858451901
17	0.8716925501
18	0.8564583536
19	0.8405422127
20	0.8262955496
21	0.8088107003
22	0.7969808426
23	0.7821248827
24	0.7723239781
25	0.7597633769
26	0.7465878292
27	0.7343810031
28	0.7205395544
29	0.7111584019
30	0.6997816015
31	0.688264292
32	0.6773150969
33	0.6660808399
34	0.6545908962
35	0.6441260698
36	0.6340680676
37	0.6226073214
38	0.6110769957
39	0.603745172
40	0.5967417306
41	0.5868541094
42	0.5784038212
43	0.56739183
44	0.5604176441
45	0.5512489464
46	0.5405066235
47	0.5339555874
48	0.5268865188
49	0.516346022
50	0.5096847375
51	0.5005941132
52	0.4948866795
53	0.4847837457
54	0.4747899597
55	0.4691523313
56	0.4618825277
57	0.4533023095
58	0.4465911229
59	0.4393062258
60	0.4343583117
61	0.4295660758
62	0.4238893597
63	0.4181566424
64	0.4091173236
65	0.4010570856
66	0.3943342658
67	0.388866186
68	0.3852662123
69	0.377137366
70	0.3702368214
71	0.362787242
72	0.3568962435
73	0.3513923672
74	0.3460171559
75	0.3397498241
76	0.3345103836
77	0.3288620303
78	0.3224632861
79	0.3156858919
80	0.3091200252
81	0.3032455207
82	0.2983038055
83	0.2925845878
84	0.2899511965
85	0.2840364139
86	0.2798407934
87	0.2738327958
88	0.2683405375
89	0.2646547876
90	0.2593225649
91	0.2552975737
92	0.2512988765
93	0.2460209858
94	0.2416102378
95	0.2367022693
96	0.2328412633
97	0.2280571106
98	0.2244466468
99	0.2196288438
100	0.2160519227
101	0.2129413319
102	0.2077886239
103	0.2039532639
104	0.2004743845
105	0.1960783303
106	0.1920691992
107	0.1890299924
108	0.1864289396
109	0.1826353967
110	0.1800872069
111	0.1767587803
112	0.1736995455
113	0.1707660761
114	0.166696433
115	0.1637899506
116	0.1601111165
117	0.1574647976
118	0.1540147798
119	0.1506904883
120	0.1471200314
121	0.143964945
122	0.1411997696
123	0.1385819899
124	0.1356700751
125	0.1336005054
126	0.1310254031
127	0.1283554072
128	0.1260279926
129	0.1234403328
130	0.1209599254
131	0.11874512
132	0.1162030437
133	0.1145732508
134	0.112289901
135	0.1105728307
136	0.1084066418
137	0.1063654193
138	0.1044817368
139	0.1026878678
140	0.1012974926
141	0.09993821156
142	0.09825046066
143	0.09637769621
144	0.09469419609
145	0.09289144506
146	0.09170073964
147	0.09015357063
148	0.08860401762
149	0.08698912299
150	0.08534488193
151	0.0840884821
152	0.08257680559
153	0.08076626215
154	0.07955297201
155	0.07845422884
156	0.07716956779
157	0.0755445989
158	0.0745400485
159	0.07330007506
160	0.07209101554
161	0.07065592696
162	0.06925307409
163	0.06807883923
164	0.06726760665
165	0.06593895186
166	0.06532068311
167	0.06379271253
168	0.06288059607
169	0.06176303483
170	0.06063205224
171	0.05939606809
172	0.05825518851
173	0.05685105919
174	0.055796601
175	0.05443934937
176	0.05332947043
177	0.05245552664
178	0.05136240488
179	0.05044728279
180	0.0494257835
181	0.04835329393
182	0.04746305195
183	0.04686366655
184	0.04599524063
185	0.04532604068
186	0.04460847369
187	0.04357902096
188	0.04265833781
189	0.04194990598
190	0.04126850229
191	0.04038976167
192	0.03976915108
193	0.03894341171
194	0.03851086007
195	0.03799863249
196	0.03719903494
197	0.03641742714
198	0.035682544
199	0.0352020204
200	0.03440976756
201	0.03372191373
202	0.03307709977
203	0.03251527319
204	0.03194557273
205	0.0313018643
206	0.03061843827
207	0.03028604268
208	0.02966476907
209	0.02909291075
210	0.02854227906
211	0.02808293753
212	0.02757221763
213	0.02703606866
214	0.02644378816
215	0.02638430609
216	0.02594288561
217	0.02543394584
218	0.02506925007
219	0.02461261543
220	0.02405976452
221	0.02380162557
222	0.02337487388
223	0.02308701374
224	0.02257426157
225	0.02218185303
226	0.02174220501
227	0.02135403918
228	0.02104573663
229	0.02071327716
230	0.02028845012
231	0.01999584341
232	0.01960871615
233	0.01939940466
234	0.01918512762
235	0.01879310784
236	0.01837058361
237	0.01796199038
238	0.01771827002
239	0.01736344828
240	0.01710144398
241	0.01672944942
242	0.016430933
243	0.01620778576
244	0.01586890206
245	0.01566014474
246	0.01537323957
247	0.01514600648
248	0.01496688731
249	0.01487857849
250	0.01469730983
251	0.0144423532
252	0.01429938946
253	0.0141237735
254	0.01392882164
255	0.0136554185
256	0.01347991313
257	0.01326352089
258	0.01301140079
259	0.01280951683
260	0.01254710502
261	0.0123255154
262	0.01218405194
263	0.01196830709
264	0.01175756447
265	0.01151216819
266	0.0113215533
267	0.01115741072
268	0.01090147283
269	0.01068837017
270	0.01050129338
271	0.01029256584
272	0.01008871561
273	0.009944426345
274	0.009736711479
275	0.009533821331
276	0.009364368359
277	0.009243162718
278	0.009082499344
279	0.008901049078
280	0.008706610266
281	0.008671239582
282	0.008504263298
283	0.008334458901
284	0.00818954738
285	0.008043782628
286	0.007887379812
287	0.007771889395
288	0.007605926064
289	0.007446968342
290	0.007316589143
291	0.007175432204
292	0.007053175429
293	0.006910516966
294	0.006791543491
295	0.006649838746
296	0.006572431872
297	0.00656156802
298	0.006530276403
299	0.006426795675
